上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"103","7728","光焱科技","最近六個營業日(含當日)累積之最後成交價跌幅達26.22%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣127元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣127元(第十一款)","115/03/31","675.00","137.20"
"104","80273","鈦昇三","最近六個營業日(含當日)累積之最後成交價漲幅達23.01%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣41元(第一款)","115/03/31","211.00","N/A"
"105","8096","擎亞","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達73.69%，當日之前一個營業日當日沖銷成交量占總成交量達77.38%（第十三款)","115/03/31","86.20","96.85"
"106","8299","群聯","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣185元(第十一款)","115/03/31","1500.00","35.73"
"107","2640","大車隊","最近六個營業日(含當日)累積之最後成交價漲幅達24.85%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣41元(第一款)","115/03/30","194.00","21.53"
"108","3339","泰谷","最近六個營業日(含當日)之累積週轉率為84.16%，當日週轉率達16.26%(第十款)","115/03/30","39.25","N/A"
"109","4154","樂威科-KY","最近六個營業日(含當日)累積之最後成交價漲幅達38.69%(第一款)","115/03/30","14.90","N/A"
"110","4741","泓瀚","最近六個營業日(含當日)累積之最後成交價漲幅達31.79%(第一款)當日之成交量較最近六十個營業日日平均成交量放大9.67倍(第三款)當日週轉率達10.94%(第四款)","115/03/30","35.35","121.90"
"111","4971","IET-KY","最近六個營業日(含當日)累積之最後成交價漲幅達30.88%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達284.84%(第二款)當日週轉率達34.86%(第四款)當日本益比為384.85、股價淨值比為12.59且為其所屬產業類別股價淨值比之3.21倍(第六款)","115/03/30","635.00","384.85"
"112","5016","松和","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為8.14倍，當日成交量較最近六十個營業日之日平均成交量放大為31.99倍(第九款)","115/03/30","30.60","20.40"
"113","5386","青雲","最近六個營業日(含當日)累積之最後成交價跌幅達30.07%(第一款)","115/03/30","286.50","33.28"
"114","6588","東典光電","最近六個營業日(含當日)之累積週轉率為112.61%，當日週轉率達40.41%(第十款)","115/03/30","129.50","N/A"
"115","6683","雍智科技","當日本益比為98.57、股價淨值比為15.38且為其所屬產業類別股價淨值比之3.93倍、當日週轉率達12.66%(第六款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣360元(第十一款)","115/03/30","1520.00","98.57"
"116","6821","聯寶","最近六個營業日(含當日)累積之最後成交價漲幅達53.26%(第一款)當日之成交量較最近六十個營業日日平均成交量放大20.86倍(第三款)當日週轉率達22.53%(第四款)","115/03/30","61.00","53.98"
"117","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價跌幅達31.73%(第一款)","115/03/30","118.00","56.73"
"118","700571","宜鼎元大59購03","最近六個營業日(含當日)累積之最後成交價跌幅達46.69%(第一款)","115/03/30","5.20","N/A"
"119","7709","榮田","最近六個營業日(含當日)累積之最後成交價漲幅達27.59%，當日之成交量較最近六十個營業日日平均成交量放大7.78倍(第三款)當日週轉率達5.88%(第四款)","115/03/30","72.60","29.27"
"120","7717","萊德光電-KY","當日本益比為119.58、股價淨值比為18.18且為其所屬產業類別股價淨值比之2.96倍、當日週轉率達10.59%(第六款)","115/03/30","733.00","119.58"
"121","7734","印能科技","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣265元(第十一款)","115/03/30","2025.00","60.45"
"122","8027","鈦昇","最近六個營業日(含當日)累積之最後成交價漲幅達31.78%(第一款)當日週轉率達12.83%(第四款)","115/03/30","144.00","N/A"
"123","80273","鈦昇三","最近六個營業日(含當日)累積之最後成交價漲幅達37.36%(第一款)","115/03/30","223.00","N/A"
"124","8936","國統","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達9.32%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為6倍(第十二款)","115/03/30","52.10","12.77"
"125","2640","大車隊","最近六個營業日(含當日)累積之最後成交價漲幅達30.89%(第一款)當日之成交量較最近六十個營業日日平均成交量放大6.65倍(第三款)","115/03/27","195.00","21.64"
"126","3081","聯亞","當日本益比為369.10、股價淨值比為37.98且為其所屬產業類別股價淨值比之6.01倍、當日週轉率達5.49%(第六款)","115/03/27","1720.00","369.10"
"127","3131","弘塑","最近六個營業日(含當日)累積之最後成交價漲幅達23.72%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣480元(第一款)","115/03/27","2845.00","81.78"
